method,generation,train_size,acc,worst_class_acc,ess_score,acc_c0,acc_c1,acc_c2,acc_c3,acc_c4,acc_c5,acc_c6,acc_c7,acc_c8,acc_c9,hist_c0,hist_c1,hist_c2,hist_c3,hist_c4,hist_c5,hist_c6,hist_c7,hist_c8,hist_c9
baseline,0,2500,0.2739,0.0,,0.424,0.22,0.349,0.0,0.13,0.246,0.404,0.198,0.316,0.452,0,0,0,0,0,0,0,0,0,0
baseline,1,6500,0.3616,0.053,,0.516,0.302,0.375,0.053,0.283,0.373,0.403,0.358,0.419,0.534,1006,66,219,0,0,167,341,0,279,1922
baseline,2,10500,0.3854,0.054,,0.522,0.32,0.38,0.054,0.281,0.395,0.438,0.417,0.467,0.58,1091,6,706,0,0,371,414,1,178,1233
baseline,3,14500,0.3915,0.085,,0.538,0.307,0.404,0.085,0.266,0.419,0.461,0.389,0.457,0.589,772,32,936,0,0,423,415,151,486,785
baseline,4,18500,0.393,0.075,,0.546,0.29,0.412,0.075,0.234,0.421,0.491,0.402,0.47,0.589,680,98,726,0,37,487,411,475,612,474
baseline,5,22500,0.3943,0.069,,0.541,0.268,0.441,0.069,0.222,0.421,0.506,0.426,0.466,0.583,492,202,519,0,140,529,417,742,478,481
set_aware,0,2500,0.2739,0.0,,0.424,0.22,0.349,0.0,0.13,0.246,0.404,0.198,0.316,0.452,0,0,0,0,0,0,0,0,0,0
set_aware,1,6500,0.3613,0.045,7625.58056640625,0.403,0.362,0.321,0.045,0.267,0.375,0.417,0.403,0.538,0.482,785,129,373,0,0,487,571,0,546,1109
set_aware,2,10500,0.3884,0.095,7955.03662109375,0.464,0.362,0.385,0.095,0.233,0.42,0.427,0.438,0.548,0.512,435,2,730,0,0,605,578,0,684,966
set_aware,3,14500,0.3944,0.106,7996.775390625,0.44,0.319,0.427,0.106,0.243,0.411,0.469,0.414,0.605,0.51,416,108,816,0,0,563,550,99,982,466
set_aware,4,18500,0.3946,0.079,7998.88134765625,0.44,0.333,0.455,0.079,0.219,0.418,0.469,0.42,0.625,0.488,416,253,720,0,12,444,436,484,876,359
set_aware,5,22500,0.3957,0.087,7998.9013671875,0.424,0.329,0.455,0.087,0.202,0.413,0.488,0.432,0.645,0.482,373,331,622,1,81,504,427,623,778,260
