method,generation,mean,ci95,std,n
no_filter,0,0.203446341507341,0.055359097214012734,0.04892080052847691,3
no_filter,1,0.1082222303211753,0.025351689647516728,0.0224032727179678,3
no_filter,2,0.09925890667727573,0.011826911172209003,0.010451434207586725,3
no_filter,3,0.0763614972744876,0.0083863893599856,0.007411047175280661,3
no_filter,4,0.06065621686980397,0.009449994374387443,0.008350954279428122,3
pointwise,0,0.2014831636263331,0.06612579202730995,0.05843532218471114,3
pointwise,1,0.09357834487599886,0.02001672350844231,0.017688766386571648,3
pointwise,2,0.06230466601973877,0.02186705620012593,0.019323904260501092,3
pointwise,3,0.03739617233582477,0.022423496251502667,0.01981562999537392,3
pointwise,4,0.023765095158361168,0.01325823423857196,0.011716293530538725,3
set_aware,0,0.18980957001628082,0.05235690318976566,0.04626776349573425,3
set_aware,1,0.11729637947258009,0.009718301170917714,0.008588056832288568,3
set_aware,2,0.09307714446942693,0.010775483985975423,0.009522288642782773,3
set_aware,3,0.07895950791988761,0.01178037913924124,0.010410313878362422,3
set_aware,4,0.06650987261408507,0.0017112221343603582,0.0015122059590554062,3
